NAME,LATITUDE,LONGITUDE,PUNTO ZWF,PROPIETARIO,CONTRATO,SECTOR
ZWF AREA 1,4.538919,-72.451406,POINT (-72.451406 4.538919),ENTIDAD,BPIN 20233384516829,INDUSTRIAL
ZWF AREA 2,4.722051,-72.294981,POINT (-72.294981 4.722051),GOBIERNO,BPIN 20236408005946,URBANO
ZWF AREA 3,4.816712,-72.659372,POINT (-72.659372 4.816712),EMPRESA,BPIN 20239710699830,INDUSTRIAL
ZWF AREA 4,4.023582,-72.367111,POINT (-72.367111 4.023582),ENTIDAD,BPIN 20239997831135,TURISTICO
ZWF AREA 5,4.656444,-72.069487,POINT (-72.069487 4.656444),PARTICULAR,BPIN 20231683948680,URBANO
ZWF AREA 6,4.559556,-72.580985,POINT (-72.580985 4.559556),ENTIDAD,BPIN 20234974190836,TURISTICO
ZWF AREA 7,4.227355,-72.500995,POINT (-72.500995 4.227355),GOBIERNO,BPIN 20237964800619,TURISTICO
ZWF AREA 8,4.381144,-72.503384,POINT (-72.503384 4.381144),EMPRESA,BPIN 20231271899598,INDUSTRIAL
ZWF AREA 9,4.503473,-72.408045,POINT (-72.408045 4.503473),PARTICULAR,BPIN 20235298938735,INDUSTRIAL
ZWF AREA 10,4.056843,-72.036345,POINT (-72.036345 4.056843),EMPRESA,BPIN 20238803754648,RURAL
ZWF AREA 11,4.972197,-72.50493,POINT (-72.50493 4.972197),ENTIDAD,BPIN 20236201251586,INDUSTRIAL
ZWF AREA 12,4.223336,-72.560059,POINT (-72.560059 4.223336),EMPRESA,BPIN 20239518326553,TURISTICO
ZWF AREA 13,4.212416,-72.987294,POINT (-72.987294 4.212416),GOBIERNO,BPIN 20233791578290,INDUSTRIAL
ZWF AREA 14,4.833747,-72.213703,POINT (-72.213703 4.833747),GOBIERNO,BPIN 20234967481519,TURISTICO
ZWF AREA 15,4.087245,-72.070896,POINT (-72.070896 4.087245),EMPRESA,BPIN 20239052948701,INDUSTRIAL
ZWF AREA 16,4.063959,-72.375249,POINT (-72.375249 4.063959),PARTICULAR,BPIN 20236576911815,RURAL
ZWF AREA 17,4.33823,-72.987324,POINT (-72.987324 4.33823),EMPRESA,BPIN 20235017947854,TURISTICO
ZWF AREA 18,4.557656,-72.092462,POINT (-72.092462 4.557656),ENTIDAD,BPIN 20232961579194,RURAL
ZWF AREA 19,4.078276,-72.210114,POINT (-72.210114 4.078276),EMPRESA,BPIN 20233289130201,URBANO
ZWF AREA 20,4.080336,-72.354602,POINT (-72.354602 4.080336),EMPRESA,BPIN 20234084185698,URBANO
ZWF AREA 21,4.488092,-72.419557,POINT (-72.419557 4.488092),ENTIDAD,BPIN 20236862140346,RURAL
ZWF AREA 22,4.008073,-72.168289,POINT (-72.168289 4.008073),EMPRESA,BPIN 20233419292589,URBANO
ZWF AREA 23,4.828952,-72.435013,POINT (-72.435013 4.828952),ENTIDAD,BPIN 20237838275942,INDUSTRIAL
ZWF AREA 24,4.72388,-72.953516,POINT (-72.953516 4.72388),GOBIERNO,BPIN 20231610365955,INDUSTRIAL
ZWF AREA 25,4.148464,-72.655058,POINT (-72.655058 4.148464),ENTIDAD,BPIN 20238927934357,RURAL
ZWF AREA 26,4.381182,-72.655237,POINT (-72.655237 4.381182),PARTICULAR,BPIN 20235789141425,RURAL
ZWF AREA 27,4.477378,-72.276936,POINT (-72.276936 4.477378),GOBIERNO,BPIN 20239756177326,URBANO
ZWF AREA 28,4.212416,-72.353727,POINT (-72.353727 4.212416),EMPRESA,BPIN 20233603986780,URBANO
ZWF AREA 29,4.553707,-72.109718,POINT (-72.109718 4.553707),ENTIDAD,BPIN 20237759121964,URBANO
ZWF AREA 30,4.779625,-72.576584,POINT (-72.576584 4.779625),PARTICULAR,BPIN 20237595372352,INDUSTRIAL
ZWF AREA 31,4.983315,-72.403665,POINT (-72.403665 4.983315),PARTICULAR,BPIN 20237983863797,INDUSTRIAL
ZWF AREA 32,4.616306,-72.617973,POINT (-72.617973 4.616306),GOBIERNO,BPIN 20235578773054,INDUSTRIAL
ZWF AREA 33,4.623374,-72.442002,POINT (-72.442002 4.623374),PARTICULAR,BPIN 20233218182398,TURISTICO
ZWF AREA 34,4.287996,-72.047828,POINT (-72.047828 4.287996),PARTICULAR,BPIN 20235603705979,URBANO
ZWF AREA 35,4.424721,-72.936692,POINT (-72.936692 4.424721),GOBIERNO,BPIN 20238656877822,URBANO
ZWF AREA 36,4.602425,-72.919869,POINT (-72.919869 4.602425),EMPRESA,BPIN 20239176568009,INDUSTRIAL
ZWF AREA 37,4.066269,-72.854614,POINT (-72.854614 4.066269),ENTIDAD,BPIN 20232244716792,RURAL
ZWF AREA 38,4.040014,-72.113768,POINT (-72.113768 4.040014),ENTIDAD,BPIN 20239056108055,URBANO
ZWF AREA 39,4.758925,-72.185527,POINT (-72.185527 4.758925),PARTICULAR,BPIN 20231441440003,INDUSTRIAL
ZWF AREA 40,4.167594,-72.59409,POINT (-72.59409 4.167594),EMPRESA,BPIN 20233625851139,RURAL
ZWF AREA 41,4.376424,-72.422653,POINT (-72.422653 4.376424),ENTIDAD,BPIN 20236864525314,RURAL
ZWF AREA 42,4.812083,-72.746933,POINT (-72.746933 4.812083),PARTICULAR,BPIN 20239558233890,RURAL
ZWF AREA 43,4.624955,-72.953887,POINT (-72.953887 4.624955),EMPRESA,BPIN 20235404578133,TURISTICO
ZWF AREA 44,4.870168,-72.894642,POINT (-72.894642 4.870168),ENTIDAD,BPIN 20236273485083,INDUSTRIAL
ZWF AREA 45,4.068265,-72.07845,POINT (-72.07845 4.068265),PARTICULAR,BPIN 20236558754300,RURAL
ZWF AREA 46,4.320584,-72.336251,POINT (-72.336251 4.320584),EMPRESA,BPIN 20232346864830,RURAL
ZWF AREA 47,4.148346,-72.770012,POINT (-72.770012 4.148346),EMPRESA,BPIN 20232785287353,INDUSTRIAL
ZWF AREA 48,4.77849,-72.666911,POINT (-72.666911 4.77849),PARTICULAR,BPIN 20239290933632,RURAL
ZWF AREA 49,4.380785,-72.191271,POINT (-72.191271 4.380785),ENTIDAD,BPIN 20238905247335,RURAL
ZWF AREA 50,4.40073,-72.235467,POINT (-72.235467 4.40073),EMPRESA,BPIN 20239588723304,URBANO
ZWF AREA 51,4.480288,-72.430626,POINT (-72.430626 4.480288),GOBIERNO,BPIN 20231568461163,URBANO
ZWF AREA 52,4.024302,-72.855871,POINT (-72.855871 4.024302),GOBIERNO,BPIN 20232231108741,RURAL
ZWF AREA 53,4.317849,-72.30996,POINT (-72.30996 4.317849),ENTIDAD,BPIN 20239823956913,URBANO
ZWF AREA 54,4.513879,-72.088811,POINT (-72.088811 4.513879),EMPRESA,BPIN 20237283381068,INDUSTRIAL
ZWF AREA 55,4.664126,-72.396142,POINT (-72.396142 4.664126),EMPRESA,BPIN 20231261575303,URBANO
ZWF AREA 56,4.513249,-72.943362,POINT (-72.943362 4.513249),PARTICULAR,BPIN 20234038679782,INDUSTRIAL
ZWF AREA 57,4.312842,-72.154708,POINT (-72.154708 4.312842),GOBIERNO,BPIN 20234922376188,URBANO
ZWF AREA 58,4.662454,-72.283533,POINT (-72.283533 4.662454),GOBIERNO,BPIN 20239194510032,URBANO
ZWF AREA 59,4.046407,-72.260313,POINT (-72.260313 4.046407),EMPRESA,BPIN 20233919612099,URBANO
ZWF AREA 60,4.183437,-72.685744,POINT (-72.685744 4.183437),ENTIDAD,BPIN 20239347040508,TURISTICO
ZWF AREA 61,4.705293,-72.36712,POINT (-72.36712 4.705293),GOBIERNO,BPIN 20235359405450,RURAL
ZWF AREA 62,4.798233,-72.891608,POINT (-72.891608 4.798233),GOBIERNO,BPIN 20236279827619,URBANO
ZWF AREA 63,4.003627,-72.414957,POINT (-72.414957 4.003627),ENTIDAD,BPIN 20233206609666,INDUSTRIAL
ZWF AREA 64,4.598905,-72.685356,POINT (-72.685356 4.598905),PARTICULAR,BPIN 20235422746493,RURAL
ZWF AREA 65,4.621135,-72.216623,POINT (-72.216623 4.621135),ENTIDAD,BPIN 20237698518064,URBANO
ZWF AREA 66,4.646554,-72.261807,POINT (-72.261807 4.646554),GOBIERNO,BPIN 20234824988958,URBANO
ZWF AREA 67,4.044084,-72.448079,POINT (-72.448079 4.044084),ENTIDAD,BPIN 20239159899974,INDUSTRIAL
ZWF AREA 68,4.215707,-72.46026,POINT (-72.46026 4.215707),PARTICULAR,BPIN 20238478142684,INDUSTRIAL
ZWF AREA 69,4.319093,-72.82578,POINT (-72.82578 4.319093),ENTIDAD,BPIN 20236898260174,URBANO
ZWF AREA 70,4.431834,-72.63375,POINT (-72.63375 4.431834),EMPRESA,BPIN 20238621614691,URBANO
ZWF AREA 71,4.498652,-72.435808,POINT (-72.435808 4.498652),GOBIERNO,BPIN 20235063614164,URBANO
ZWF AREA 72,4.326947,-72.084968,POINT (-72.084968 4.326947),EMPRESA,BPIN 20237807413427,URBANO
ZWF AREA 73,4.739148,-72.718337,POINT (-72.718337 4.739148),GOBIERNO,BPIN 20232711312805,RURAL
